trip_id,arrival_time,departure_time,stop_id,stop_name,stop_sequence
2298348,09:50:00,09:50:10,stop_point:SP_2255,Jolimont,1
2298348,09:53:00,09:53:10,stop_point:SP_1181,Porte du Milieu,2
2298348,09:54:00,09:54:10,stop_point:SP_3086,Porte de Caillibens,3
2298348,09:59:00,09:59:10,stop_point:SP_3200,Jolimont,4
2298348,10:03:00,10:03:10,stop_point:SP_2226,Marengo-SNCF,5
2298348,10:06:00,10:06:10,stop_point:SP_3415,Jean Jaurès,6
2298348,10:09:00,10:09:10,stop_point:SP_2373,Jeanne d'Arc,7
2298348,10:15:00,10:15:10,stop_point:SP_1084,Canal du Midi,8
2298348,10:17:00,10:17:10,stop_point:SP_553,ZAC Ponts Jumeaux,9
2298348,10:25:00,10:25:10,stop_point:SP_1245,Oratoire,10
2298348,10:31:00,10:31:10,stop_point:SP_1279,Cimetière Cornebarrieu,11
2298348,10:31:00,10:31:10,stop_point:SP_2871,Accueil Cimetière,12
2298348,10:32:00,10:32:10,stop_point:SP_1838,Crématorium,13
2298348,10:33:00,10:33:10,stop_point:SP_4751,Secteur I,14
2298348,10:35:00,10:35:10,stop_point:SP_1560,Secteur G,15
2298348,10:35:00,10:35:10,stop_point:SP_480,Secteur F,16
2298348,10:36:00,10:36:10,stop_point:SP_2870,Secteurs D et E,17
2298348,10:38:00,10:38:10,stop_point:SP_640,Secteurs B et C,18
2298348,10:39:00,10:39:10,stop_point:SP_478,Secteur A,19
2298349,13:50:00,13:50:10,stop_point:SP_2255,Jolimont,1
2298349,13:53:00,13:53:10,stop_point:SP_1181,Porte du Milieu,2
2298349,13:54:00,13:54:10,stop_point:SP_3086,Porte de Caillibens,3
2298349,13:59:00,13:59:10,stop_point:SP_3200,Jolimont,4
2298349,14:03:00,14:03:10,stop_point:SP_2226,Marengo-SNCF,5
2298349,14:06:00,14:06:10,stop_point:SP_3415,Jean Jaurès,6
2298349,14:09:00,14:09:10,stop_point:SP_2373,Jeanne d'Arc,7
2298349,14:15:00,14:15:10,stop_point:SP_1084,Canal du Midi,8
2298349,14:17:00,14:17:10,stop_point:SP_553,ZAC Ponts Jumeaux,9
2298349,14:25:00,14:25:10,stop_point:SP_1245,Oratoire,10
2298349,14:31:00,14:31:10,stop_point:SP_1279,Cimetière Cornebarrieu,11
2298349,14:31:00,14:31:10,stop_point:SP_2871,Accueil Cimetière,12
2298349,14:32:00,14:32:10,stop_point:SP_1838,Crématorium,13
2298349,14:33:00,14:33:10,stop_point:SP_4751,Secteur I,14
2298349,14:35:00,14:35:10,stop_point:SP_1560,Secteur G,15
2298349,14:35:00,14:35:10,stop_point:SP_480,Secteur F,16
2298349,14:36:00,14:36:10,stop_point:SP_2870,Secteurs D et E,17
2298349,14:38:00,14:38:10,stop_point:SP_640,Secteurs B et C,18
2298349,14:39:00,14:39:10,stop_point:SP_478,Secteur A,19
2298350,11:30:00,11:30:10,stop_point:SP_2871,Accueil Cimetière,1
2298350,11:31:00,11:31:10,stop_point:SP_1838,Crématorium,2
2298350,11:32:00,11:32:10,stop_point:SP_4751,Secteur I,3
2298350,11:33:00,11:33:10,stop_point:SP_1560,Secteur G,4
2298350,11:34:00,11:34:10,stop_point:SP_480,Secteur F,5
2298350,11:35:00,11:35:10,stop_point:SP_2870,Secteurs D et E,6
2298350,11:36:00,11:36:10,stop_point:SP_640,Secteurs B et C,7
2298350,11:37:00,11:37:10,stop_point:SP_478,Secteur A,8
2298350,11:37:00,11:37:10,stop_point:SP_1279,Cimetière Cornebarrieu,9
2298350,11:44:00,11:44:10,stop_point:SP_185,Oratoire,10
2298350,11:55:00,11:55:10,stop_point:SP_1015,ZAC Ponts Jumeaux,11
2298350,11:56:00,11:56:10,stop_point:SP_1166,Canal du Midi,12
2298350,12:02:00,12:02:10,stop_point:SP_39,Jeanne d'Arc,13
2298350,12:03:00,12:03:10,stop_point:SP_2574,Jean Jaurès,14
2298350,12:06:00,12:06:10,stop_point:SP_2556,Marengo-SNCF,15
2298350,12:10:00,12:10:10,stop_point:SP_3200,Jolimont,16
2298350,12:13:00,12:13:10,stop_point:SP_1181,Porte du Milieu,17
2298350,12:13:00,12:13:10,stop_point:SP_3086,Porte de Caillibens,18
2298350,12:19:00,12:19:10,stop_point:SP_2255,Jolimont,19
2298351,15:30:00,15:30:10,stop_point:SP_2871,Accueil Cimetière,1
2298351,15:31:00,15:31:10,stop_point:SP_1838,Crématorium,2
2298351,15:32:00,15:32:10,stop_point:SP_4751,Secteur I,3
2298351,15:33:00,15:33:10,stop_point:SP_1560,Secteur G,4
2298351,15:34:00,15:34:10,stop_point:SP_480,Secteur F,5
2298351,15:35:00,15:35:10,stop_point:SP_2870,Secteurs D et E,6
2298351,15:36:00,15:36:10,stop_point:SP_640,Secteurs B et C,7
2298351,15:37:00,15:37:10,stop_point:SP_478,Secteur A,8
2298351,15:37:00,15:37:10,stop_point:SP_1279,Cimetière Cornebarrieu,9
2298351,15:44:00,15:44:10,stop_point:SP_185,Oratoire,10
2298351,15:55:00,15:55:10,stop_point:SP_1015,ZAC Ponts Jumeaux,11
2298351,15:56:00,15:56:10,stop_point:SP_1166,Canal du Midi,12
2298351,16:02:00,16:02:10,stop_point:SP_39,Jeanne d'Arc,13
2298351,16:03:00,16:03:10,stop_point:SP_2574,Jean Jaurès,14
2298351,16:06:00,16:06:10,stop_point:SP_2556,Marengo-SNCF,15
2298351,16:10:00,16:10:10,stop_point:SP_3200,Jolimont,16
2298351,16:13:00,16:13:10,stop_point:SP_1181,Porte du Milieu,17
2298351,16:13:00,16:13:10,stop_point:SP_3086,Porte de Caillibens,18
2298351,16:19:00,16:19:10,stop_point:SP_2255,Jolimont,19
