trip_id,arrival_time,departure_time,stop_id,stop_name,stop_sequence
2361992,07:50:00,07:50:10,stop_point:SP_5247,Fenouillet Ctre Cial - Entrée Nord,1
2361992,07:51:00,07:51:10,stop_point:SP_5168,Fenouillet Ctre Cial - Entrée Sud,2
2361992,07:52:00,07:52:10,stop_point:SP_5169,Fenouillet Ctre Cial - Entrée Sud,3
2361992,07:53:00,07:53:10,stop_point:SP_5248,Fenouillet Ctre Cial - Entrée Nord,4
2361992,07:59:00,07:59:10,stop_point:SP_5215,Lespinasse Mairie,5
2361992,08:02:00,08:02:10,stop_point:SP_3555,Lespinasse Mairie,6
2361992,08:04:00,08:04:10,stop_point:SP_2234,Avenir,7
2361992,08:05:00,08:05:10,stop_point:SP_4920,Gagnac,8
2361992,08:05:00,08:05:10,stop_point:SP_1626,Moulin,9
2361992,08:06:00,08:06:10,stop_point:SP_1007,Voie Romaine,10
2361992,08:07:00,08:07:10,stop_point:SP_1761,Berbie Blaize,11
2361992,08:08:00,08:08:10,stop_point:SP_920,Mairie Gagnac,12
2361992,08:09:00,08:09:10,stop_point:SP_7,Chêne Vert,13
2361992,08:11:00,08:11:10,stop_point:SP_142,Montplaisir,14
2361992,08:13:00,08:13:10,stop_point:SP_1796,Fenouillet Croix,15
2361992,08:14:00,08:14:10,stop_point:SP_3344,Eglise Fenouillet,16
2361992,08:15:00,08:15:10,stop_point:SP_2487,Gourgues,17
2361992,08:15:00,08:15:10,stop_point:SP_2769,Billières,18
2361992,08:16:00,08:16:10,stop_point:SP_2424,Mairie Fenouillet,19
2361992,08:17:00,08:17:10,stop_point:SP_4917,Tilleuls,20
2361992,08:17:00,08:17:10,stop_point:SP_1893,Languedoc,21
2361992,08:18:00,08:18:10,stop_point:SP_2417,Clos,22
2361992,08:19:00,08:19:10,stop_point:SP_823,Tournelle,23
2361992,08:19:00,08:19:10,stop_point:SP_1046,Tournelle,24
2361993,08:50:00,08:50:10,stop_point:SP_5247,Fenouillet Ctre Cial - Entrée Nord,1
2361993,08:51:00,08:51:10,stop_point:SP_5168,Fenouillet Ctre Cial - Entrée Sud,2
2361993,08:52:00,08:52:10,stop_point:SP_5169,Fenouillet Ctre Cial - Entrée Sud,3
2361993,08:53:00,08:53:10,stop_point:SP_5248,Fenouillet Ctre Cial - Entrée Nord,4
2361993,08:59:00,08:59:10,stop_point:SP_5215,Lespinasse Mairie,5
2361993,09:02:00,09:02:10,stop_point:SP_3555,Lespinasse Mairie,6
2361993,09:04:00,09:04:10,stop_point:SP_2234,Avenir,7
2361993,09:04:00,09:04:10,stop_point:SP_4920,Gagnac,8
2361993,09:05:00,09:05:10,stop_point:SP_1626,Moulin,9
2361993,09:06:00,09:06:10,stop_point:SP_1007,Voie Romaine,10
2361993,09:06:00,09:06:10,stop_point:SP_1761,Berbie Blaize,11
2361993,09:07:00,09:07:10,stop_point:SP_920,Mairie Gagnac,12
2361993,09:08:00,09:08:10,stop_point:SP_7,Chêne Vert,13
2361993,09:10:00,09:10:10,stop_point:SP_142,Montplaisir,14
2361993,09:12:00,09:12:10,stop_point:SP_1796,Fenouillet Croix,15
2361993,09:12:00,09:12:10,stop_point:SP_3344,Eglise Fenouillet,16
2361993,09:13:00,09:13:10,stop_point:SP_2487,Gourgues,17
2361993,09:14:00,09:14:10,stop_point:SP_2769,Billières,18
2361993,09:14:00,09:14:10,stop_point:SP_2424,Mairie Fenouillet,19
2361993,09:15:00,09:15:10,stop_point:SP_4917,Tilleuls,20
2361993,09:16:00,09:16:10,stop_point:SP_1893,Languedoc,21
2361993,09:16:00,09:16:10,stop_point:SP_2417,Clos,22
2361993,09:17:00,09:17:10,stop_point:SP_823,Tournelle,23
2361993,09:17:00,09:17:10,stop_point:SP_1046,Tournelle,24
