trip_id,arrival_time,departure_time,stop_id,stop_name,stop_sequence
2304350,09:15:00,09:15:10,stop_point:SP_2452,St Cyprien - République,1
2304350,09:19:00,09:19:10,stop_point:SP_3230,Cours Dillon,2
2304350,09:21:00,09:21:10,stop_point:SP_50,Pont Neuf,3
2304350,09:23:00,09:23:10,stop_point:SP_2500,Brunière,4
2304350,09:25:00,09:25:10,stop_point:SP_276,Féral,5
2304350,09:26:00,09:26:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304350,09:27:00,09:27:10,stop_point:SP_3010,Carmes,7
2304350,09:36:00,09:36:10,stop_point:SP_1702,Jean Jaurès,8
2304350,09:37:00,09:37:10,stop_point:SP_438,Victor Hugo,9
2304350,09:39:00,09:39:10,stop_point:SP_457,Bellegarde,10
2304350,09:40:00,09:40:10,stop_point:SP_2368,Rémusat,11
2304350,09:46:00,09:46:10,stop_point:SP_1667,Sciences Sociales,12
2304350,09:47:00,09:47:10,stop_point:SP_1117,Arsenal,13
2304350,09:49:00,09:49:10,stop_point:SP_4518,Barcelone,14
2304350,09:54:00,09:54:10,stop_point:SP_1426,Quai St Pierre,15
2304350,10:05:00,10:05:10,stop_point:SP_1967,Cours Dillon,16
2304350,10:07:00,10:07:10,stop_point:SP_2452,St Cyprien - République,17
2304351,09:30:00,09:30:10,stop_point:SP_2452,St Cyprien - République,1
2304351,09:34:00,09:34:10,stop_point:SP_3230,Cours Dillon,2
2304351,09:36:00,09:36:10,stop_point:SP_50,Pont Neuf,3
2304351,09:38:00,09:38:10,stop_point:SP_2500,Brunière,4
2304351,09:40:00,09:40:10,stop_point:SP_276,Féral,5
2304351,09:41:00,09:41:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304351,09:42:00,09:42:10,stop_point:SP_3010,Carmes,7
2304351,09:51:00,09:51:10,stop_point:SP_1702,Jean Jaurès,8
2304351,09:52:00,09:52:10,stop_point:SP_438,Victor Hugo,9
2304351,09:54:00,09:54:10,stop_point:SP_457,Bellegarde,10
2304351,09:55:00,09:55:10,stop_point:SP_2368,Rémusat,11
2304351,10:01:00,10:01:10,stop_point:SP_1667,Sciences Sociales,12
2304351,10:02:00,10:02:10,stop_point:SP_1117,Arsenal,13
2304351,10:04:00,10:04:10,stop_point:SP_4518,Barcelone,14
2304351,10:09:00,10:09:10,stop_point:SP_1426,Quai St Pierre,15
2304351,10:20:00,10:20:10,stop_point:SP_1967,Cours Dillon,16
2304351,10:22:00,10:22:10,stop_point:SP_2452,St Cyprien - République,17
2304352,09:45:00,09:45:10,stop_point:SP_2452,St Cyprien - République,1
2304352,09:49:00,09:49:10,stop_point:SP_3230,Cours Dillon,2
2304352,09:51:00,09:51:10,stop_point:SP_50,Pont Neuf,3
2304352,09:53:00,09:53:10,stop_point:SP_2500,Brunière,4
2304352,09:55:00,09:55:10,stop_point:SP_276,Féral,5
2304352,09:56:00,09:56:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304352,09:57:00,09:57:10,stop_point:SP_3010,Carmes,7
2304352,10:06:00,10:06:10,stop_point:SP_1702,Jean Jaurès,8
2304352,10:07:00,10:07:10,stop_point:SP_438,Victor Hugo,9
2304352,10:09:00,10:09:10,stop_point:SP_457,Bellegarde,10
2304352,10:10:00,10:10:10,stop_point:SP_2368,Rémusat,11
2304352,10:16:00,10:16:10,stop_point:SP_1667,Sciences Sociales,12
2304352,10:17:00,10:17:10,stop_point:SP_1117,Arsenal,13
2304352,10:19:00,10:19:10,stop_point:SP_4518,Barcelone,14
2304352,10:24:00,10:24:10,stop_point:SP_1426,Quai St Pierre,15
2304352,10:35:00,10:35:10,stop_point:SP_1967,Cours Dillon,16
2304352,10:37:00,10:37:10,stop_point:SP_2452,St Cyprien - République,17
2304353,10:00:00,10:00:10,stop_point:SP_2452,St Cyprien - République,1
2304353,10:04:00,10:04:10,stop_point:SP_3230,Cours Dillon,2
2304353,10:06:00,10:06:10,stop_point:SP_50,Pont Neuf,3
2304353,10:08:00,10:08:10,stop_point:SP_2500,Brunière,4
2304353,10:10:00,10:10:10,stop_point:SP_276,Féral,5
2304353,10:11:00,10:11:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304353,10:12:00,10:12:10,stop_point:SP_3010,Carmes,7
2304353,10:22:00,10:22:10,stop_point:SP_1702,Jean Jaurès,8
2304353,10:23:00,10:23:10,stop_point:SP_438,Victor Hugo,9
2304353,10:25:00,10:25:10,stop_point:SP_457,Bellegarde,10
2304353,10:26:00,10:26:10,stop_point:SP_2368,Rémusat,11
2304353,10:32:00,10:32:10,stop_point:SP_1667,Sciences Sociales,12
2304353,10:33:00,10:33:10,stop_point:SP_1117,Arsenal,13
2304353,10:35:00,10:35:10,stop_point:SP_4518,Barcelone,14
2304353,10:40:00,10:40:10,stop_point:SP_1426,Quai St Pierre,15
2304353,10:51:00,10:51:10,stop_point:SP_1967,Cours Dillon,16
2304353,10:53:00,10:53:10,stop_point:SP_2452,St Cyprien - République,17
2304354,10:15:00,10:15:10,stop_point:SP_2452,St Cyprien - République,1
2304354,10:19:00,10:19:10,stop_point:SP_3230,Cours Dillon,2
2304354,10:21:00,10:21:10,stop_point:SP_50,Pont Neuf,3
2304354,10:23:00,10:23:10,stop_point:SP_2500,Brunière,4
2304354,10:25:00,10:25:10,stop_point:SP_276,Féral,5
2304354,10:26:00,10:26:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304354,10:27:00,10:27:10,stop_point:SP_3010,Carmes,7
2304354,10:37:00,10:37:10,stop_point:SP_1702,Jean Jaurès,8
2304354,10:38:00,10:38:10,stop_point:SP_438,Victor Hugo,9
2304354,10:40:00,10:40:10,stop_point:SP_457,Bellegarde,10
2304354,10:41:00,10:41:10,stop_point:SP_2368,Rémusat,11
2304354,10:47:00,10:47:10,stop_point:SP_1667,Sciences Sociales,12
2304354,10:48:00,10:48:10,stop_point:SP_1117,Arsenal,13
2304354,10:50:00,10:50:10,stop_point:SP_4518,Barcelone,14
2304354,10:55:00,10:55:10,stop_point:SP_1426,Quai St Pierre,15
2304354,11:06:00,11:06:10,stop_point:SP_1967,Cours Dillon,16
2304354,11:08:00,11:08:10,stop_point:SP_2452,St Cyprien - République,17
2304355,10:30:00,10:30:10,stop_point:SP_2452,St Cyprien - République,1
2304355,10:34:00,10:34:10,stop_point:SP_3230,Cours Dillon,2
2304355,10:36:00,10:36:10,stop_point:SP_50,Pont Neuf,3
2304355,10:38:00,10:38:10,stop_point:SP_2500,Brunière,4
2304355,10:40:00,10:40:10,stop_point:SP_276,Féral,5
2304355,10:41:00,10:41:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304355,10:42:00,10:42:10,stop_point:SP_3010,Carmes,7
2304355,10:52:00,10:52:10,stop_point:SP_1702,Jean Jaurès,8
2304355,10:53:00,10:53:10,stop_point:SP_438,Victor Hugo,9
2304355,10:55:00,10:55:10,stop_point:SP_457,Bellegarde,10
2304355,10:56:00,10:56:10,stop_point:SP_2368,Rémusat,11
2304355,11:02:00,11:02:10,stop_point:SP_1667,Sciences Sociales,12
2304355,11:03:00,11:03:10,stop_point:SP_1117,Arsenal,13
2304355,11:05:00,11:05:10,stop_point:SP_4518,Barcelone,14
2304355,11:10:00,11:10:10,stop_point:SP_1426,Quai St Pierre,15
2304355,11:21:00,11:21:10,stop_point:SP_1967,Cours Dillon,16
2304355,11:23:00,11:23:10,stop_point:SP_2452,St Cyprien - République,17
2304356,10:45:00,10:45:10,stop_point:SP_2452,St Cyprien - République,1
2304356,10:49:00,10:49:10,stop_point:SP_3230,Cours Dillon,2
2304356,10:51:00,10:51:10,stop_point:SP_50,Pont Neuf,3
2304356,10:53:00,10:53:10,stop_point:SP_2500,Brunière,4
2304356,10:55:00,10:55:10,stop_point:SP_276,Féral,5
2304356,10:56:00,10:56:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304356,10:57:00,10:57:10,stop_point:SP_3010,Carmes,7
2304356,11:07:00,11:07:10,stop_point:SP_1702,Jean Jaurès,8
2304356,11:08:00,11:08:10,stop_point:SP_438,Victor Hugo,9
2304356,11:10:00,11:10:10,stop_point:SP_457,Bellegarde,10
2304356,11:11:00,11:11:10,stop_point:SP_2368,Rémusat,11
2304356,11:17:00,11:17:10,stop_point:SP_1667,Sciences Sociales,12
2304356,11:18:00,11:18:10,stop_point:SP_1117,Arsenal,13
2304356,11:20:00,11:20:10,stop_point:SP_4518,Barcelone,14
2304356,11:25:00,11:25:10,stop_point:SP_1426,Quai St Pierre,15
2304356,11:36:00,11:36:10,stop_point:SP_1967,Cours Dillon,16
2304356,11:38:00,11:38:10,stop_point:SP_2452,St Cyprien - République,17
2304357,11:00:00,11:00:10,stop_point:SP_2452,St Cyprien - République,1
2304357,11:04:00,11:04:10,stop_point:SP_3230,Cours Dillon,2
2304357,11:06:00,11:06:10,stop_point:SP_50,Pont Neuf,3
2304357,11:08:00,11:08:10,stop_point:SP_2500,Brunière,4
2304357,11:10:00,11:10:10,stop_point:SP_276,Féral,5
2304357,11:11:00,11:11:10,stop_point:SP_5363,Musée Paul-Dupuy,6
2304357,11:12:00,11:12:10,stop_point:SP_3010,Carmes,7
2304357,11:22:00,11:22:10,stop_point:SP_1702,Jean Jaurès,8
2304357,11:23:00,11:23:10,stop_point:SP_438,Victor Hugo,9
2304357,11:25:00,11:25:10,stop_point:SP_457,Bellegarde,10
2304357,11:26:00,11:26:10,stop_point:SP_2368,Rémusat,11
2304357,11:32:00,11:32:10,stop_point:SP_1667,Sciences Sociales,12
2304357,11:33:00,11:33:10,stop_point:SP_1117,Arsenal,13
