trip_id,arrival_time,departure_time,stop_id,stop_name,stop_sequence
2300183,05:05:00,05:05:10,stop_point:SP_2944,Gare routière,1
2300183,05:06:00,05:06:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300183,05:10:00,05:10:10,stop_point:SP_2884,Jean Jaurès,3
2300183,05:12:00,05:12:10,stop_point:SP_2021,Jeanne d'Arc,4
2300183,05:16:00,05:16:10,stop_point:SP_3472,Compans-Caffarelli,5
2300183,05:18:00,05:18:10,stop_point:SP_1077,Pont du Béarnais,6
2300183,05:28:00,05:28:10,stop_point:SP_1753,Aéroport,7
2300184,05:35:00,05:35:10,stop_point:SP_2944,Gare routière,1
2300184,05:36:00,05:36:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300184,05:40:00,05:40:10,stop_point:SP_2884,Jean Jaurès,3
2300184,05:42:00,05:42:10,stop_point:SP_2021,Jeanne d'Arc,4
2300184,05:46:00,05:46:10,stop_point:SP_3472,Compans-Caffarelli,5
2300184,05:48:00,05:48:10,stop_point:SP_1077,Pont du Béarnais,6
2300184,05:58:00,05:58:10,stop_point:SP_1753,Aéroport,7
2300185,05:55:00,05:55:10,stop_point:SP_2944,Gare routière,1
2300185,05:56:00,05:56:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300185,06:00:00,06:00:10,stop_point:SP_2884,Jean Jaurès,3
2300185,06:02:00,06:02:10,stop_point:SP_2021,Jeanne d'Arc,4
2300185,06:06:00,06:06:10,stop_point:SP_3472,Compans-Caffarelli,5
2300185,06:08:00,06:08:10,stop_point:SP_1077,Pont du Béarnais,6
2300185,06:18:00,06:18:10,stop_point:SP_1753,Aéroport,7
2300186,06:15:00,06:15:10,stop_point:SP_2944,Gare routière,1
2300186,06:16:00,06:16:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300186,06:20:00,06:20:10,stop_point:SP_2884,Jean Jaurès,3
2300186,06:22:00,06:22:10,stop_point:SP_2021,Jeanne d'Arc,4
2300186,06:26:00,06:26:10,stop_point:SP_3472,Compans-Caffarelli,5
2300186,06:28:00,06:28:10,stop_point:SP_1077,Pont du Béarnais,6
2300186,06:38:00,06:38:10,stop_point:SP_1753,Aéroport,7
2300187,06:35:00,06:35:10,stop_point:SP_2944,Gare routière,1
2300187,06:36:00,06:36:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300187,06:40:00,06:40:10,stop_point:SP_2884,Jean Jaurès,3
2300187,06:42:00,06:42:10,stop_point:SP_2021,Jeanne d'Arc,4
2300187,06:46:00,06:46:10,stop_point:SP_3472,Compans-Caffarelli,5
2300187,06:48:00,06:48:10,stop_point:SP_1077,Pont du Béarnais,6
2300187,06:58:00,06:58:10,stop_point:SP_1753,Aéroport,7
2300188,06:55:00,06:55:10,stop_point:SP_2944,Gare routière,1
2300188,06:56:00,06:56:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300188,07:00:00,07:00:10,stop_point:SP_2884,Jean Jaurès,3
2300188,07:02:00,07:02:10,stop_point:SP_2021,Jeanne d'Arc,4
2300188,07:06:00,07:06:10,stop_point:SP_3472,Compans-Caffarelli,5
2300188,07:08:00,07:08:10,stop_point:SP_1077,Pont du Béarnais,6
2300188,07:18:00,07:18:10,stop_point:SP_1753,Aéroport,7
2300189,07:15:00,07:15:10,stop_point:SP_2944,Gare routière,1
2300189,07:17:00,07:17:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300189,07:20:00,07:20:10,stop_point:SP_2884,Jean Jaurès,3
2300189,07:23:00,07:23:10,stop_point:SP_2021,Jeanne d'Arc,4
2300189,07:27:00,07:27:10,stop_point:SP_3472,Compans-Caffarelli,5
2300189,07:29:00,07:29:10,stop_point:SP_1077,Pont du Béarnais,6
2300189,07:39:00,07:39:10,stop_point:SP_1753,Aéroport,7
2300190,07:35:00,07:35:10,stop_point:SP_2944,Gare routière,1
2300190,07:37:00,07:37:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300190,07:40:00,07:40:10,stop_point:SP_2884,Jean Jaurès,3
2300190,07:43:00,07:43:10,stop_point:SP_2021,Jeanne d'Arc,4
2300190,07:47:00,07:47:10,stop_point:SP_3472,Compans-Caffarelli,5
2300190,07:49:00,07:49:10,stop_point:SP_1077,Pont du Béarnais,6
2300190,07:59:00,07:59:10,stop_point:SP_1753,Aéroport,7
2300191,07:50:00,07:50:10,stop_point:SP_2944,Gare routière,1
2300191,07:52:00,07:52:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300191,07:55:00,07:55:10,stop_point:SP_2884,Jean Jaurès,3
2300191,07:58:00,07:58:10,stop_point:SP_2021,Jeanne d'Arc,4
2300191,08:02:00,08:02:10,stop_point:SP_3472,Compans-Caffarelli,5
2300191,08:04:00,08:04:10,stop_point:SP_1077,Pont du Béarnais,6
2300191,08:14:00,08:14:10,stop_point:SP_1753,Aéroport,7
2300192,08:05:00,08:05:10,stop_point:SP_2944,Gare routière,1
2300192,08:07:00,08:07:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300192,08:10:00,08:10:10,stop_point:SP_2884,Jean Jaurès,3
2300192,08:13:00,08:13:10,stop_point:SP_2021,Jeanne d'Arc,4
2300192,08:17:00,08:17:10,stop_point:SP_3472,Compans-Caffarelli,5
2300192,08:19:00,08:19:10,stop_point:SP_1077,Pont du Béarnais,6
2300192,08:29:00,08:29:10,stop_point:SP_1753,Aéroport,7
2300193,08:20:00,08:20:10,stop_point:SP_2944,Gare routière,1
2300193,08:22:00,08:22:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300193,08:25:00,08:25:10,stop_point:SP_2884,Jean Jaurès,3
2300193,08:28:00,08:28:10,stop_point:SP_2021,Jeanne d'Arc,4
2300193,08:32:00,08:32:10,stop_point:SP_3472,Compans-Caffarelli,5
2300193,08:34:00,08:34:10,stop_point:SP_1077,Pont du Béarnais,6
2300193,08:44:00,08:44:10,stop_point:SP_1753,Aéroport,7
2300194,08:35:00,08:35:10,stop_point:SP_2944,Gare routière,1
2300194,08:37:00,08:37:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300194,08:40:00,08:40:10,stop_point:SP_2884,Jean Jaurès,3
2300194,08:43:00,08:43:10,stop_point:SP_2021,Jeanne d'Arc,4
2300194,08:47:00,08:47:10,stop_point:SP_3472,Compans-Caffarelli,5
2300194,08:49:00,08:49:10,stop_point:SP_1077,Pont du Béarnais,6
2300194,08:59:00,08:59:10,stop_point:SP_1753,Aéroport,7
2300195,08:50:00,08:50:10,stop_point:SP_2944,Gare routière,1
2300195,08:52:00,08:52:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300195,08:55:00,08:55:10,stop_point:SP_2884,Jean Jaurès,3
2300195,08:58:00,08:58:10,stop_point:SP_2021,Jeanne d'Arc,4
2300195,09:02:00,09:02:10,stop_point:SP_3472,Compans-Caffarelli,5
2300195,09:04:00,09:04:10,stop_point:SP_1077,Pont du Béarnais,6
2300195,09:14:00,09:14:10,stop_point:SP_1753,Aéroport,7
2300196,09:05:00,09:05:10,stop_point:SP_2944,Gare routière,1
2300196,09:07:00,09:07:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300196,09:10:00,09:10:10,stop_point:SP_2884,Jean Jaurès,3
2300196,09:13:00,09:13:10,stop_point:SP_2021,Jeanne d'Arc,4
2300196,09:17:00,09:17:10,stop_point:SP_3472,Compans-Caffarelli,5
2300196,09:19:00,09:19:10,stop_point:SP_1077,Pont du Béarnais,6
2300196,09:29:00,09:29:10,stop_point:SP_1753,Aéroport,7
2300197,09:20:00,09:20:10,stop_point:SP_2944,Gare routière,1
2300197,09:22:00,09:22:10,stop_point:SP_2927,Matabiau Gare SNCF,2
2300197,09:25:00,09:25:10,stop_point:SP_2884,Jean Jaurès,3
2300197,09:28:00,09:28:10,stop_point:SP_2021,Jeanne d'Arc,4
2300197,09:32:00,09:32:10,stop_point:SP_3472,Compans-Caffarelli,5
2300197,09:34:00,09:34:10,stop_point:SP_1077,Pont du Béarnais,6
2300197,09:44:00,09:44:10,stop_point:SP_1753,Aéroport,7
2300198,09:35:00,09:35:10,stop_point:SP_2944,Gare routière,1
